Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Graduate,No,3507,1624,150,360,0.0,Semiurban,N
Female,Yes,0,Not Graduate,No,-975,407,72,360,1.0,Rural,Y
Female,No,3+,Graduate,No,3969,4122,174,360,1.0,Semiurban,Y
Male,No,0,Graduate,No,7283,3060,191,360,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,6344,390,119,360,1.0,Urban,Y
Male,No,2,Not Graduate,No,6070,0,208,360,1.0,Rural,Y
Male,No,1,Not Graduate,No,4300,921,66,360,1.0,Rural,Y
Female,No,2,Graduate,No,1802,2151,75,120,1.0,Urban,Y
Male,Yes,0,Graduate,No,6288,1860,156,360,1.0,Semiurban,Y
Female,Yes,1,Graduate,Yes,2914,3379,151,360,1.0,Urban,Y
Male,Yes,0,Graduate,Yes,10460,2684,114,180,1.0,Semiurban,Y
Female,No,0,Graduate,No,6426,2954,190,360,1.0,Rural,Y
Female,No,3+,Graduate,No,3548,1990,176,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,3471,0,192,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,4767,1206,143,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,4401,3090,180,360,1.0,Rural,Y
Male,Yes,0,Graduate,No,7792,1422,127,360,1.0,Urban,Y
Male,Yes,3+,Graduate,No,5466,2254,252,360,0.0,Urban,N
Male,No,0,Graduate,No,3170,1021,109,360,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,9726,0,255,360,0.0,Urban,N
Male,No,3+,Graduate,No,5123,1314,151,240,1.0,Rural,Y
Male,Yes,1,Graduate,No,6922,1963,81,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,3479,516,218,360,0.0,Rural,N
Male,No,0,Graduate,No,5907,1146,156,360,1.0,Semiurban,Y
Male,No,1,Graduate,No,5777,90,192,240,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,275,3178,211,360,0.0,Rural,N
Male,No,2,Not Graduate,No,10038,1058,166,360,0.0,Semiurban,N
Male,No,3+,Graduate,No,8226,3679,120,180,0.0,Rural,N
Male,Yes,0,Graduate,No,4007,3793,198,360,1.0,Semiurban,Y
Male,No,2,Graduate,No,2244,1378,150,180,1.0,Urban,Y
Male,Yes,0,Graduate,No,5868,0,184,360,1.0,Urban,Y
Male,Yes,1,Graduate,No,5216,0,50,360,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,5889,0,172,240,0.0,Rural,N
Female,Yes,3+,Graduate,No,5478,0,118,360,1.0,Semiurban,Y
Female,Yes,2,Graduate,No,6265,3567,232,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,8618,1673,181,360,1.0,Urban,Y
Male,Yes,0,Graduate,No,6420,2084,161,240,1.0,Rural,Y
Male,No,0,Not Graduate,No,2375,0,174,360,0.0,Rural,N
Male,Yes,0,Graduate,No,8406,0,100,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,9101,2830,231,360,1.0,Semiurban,Y
Male,Yes,3+,Graduate,No,12880,1930,249,360,0.0,Urban,N
Male,No,1,Not Graduate,No,2191,1279,169,360,1.0,Rural,Y
Male,Yes,1,Graduate,No,5607,2347,229,360,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,-205,3953,121,360,1.0,Urban,Y
Male,No,3+,Graduate,No,6382,1168,110,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3629,1604,152,360,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,9808,1788,171,360,0.0,Semiurban,N
Male,Yes,2,Graduate,No,3063,5088,130,180,1.0,Rural,Y
Male,No,1,Graduate,No,777,0,176,180,0.0,Urban,N
Male,Yes,0,Graduate,No,3821,2524,165,360,0.0,Rural,N
Female,No,1,Graduate,No,61,1327,100,360,1.0,Urban,Y
Female,Yes,1,Graduate,No,6877,2350,175,360,1.0,Semiurban,Y
Female,No,0,Graduate,No,-162,513,193,360,1.0,Urban,N
Female,No,3+,Graduate,No,5071,1426,158,360,1.0,Semiurban,Y
Male,No,3+,Graduate,No,-194,2567,207,360,0.0,Rural,N
Female,Yes,2,Not Graduate,Yes,4199,6169,89,360,1.0,Rural,Y
Male,No,1,Graduate,No,9108,2712,173,240,1.0,Urban,Y
Male,Yes,1,Graduate,Yes,5901,227,91,360,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,2841,864,94,360,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,4921,819,118,360,1.0,Urban,Y
